Entertainment ID,Description,Includes,Contact,Street Address,City,State,Zip,Price Per Person,Price Total,Phone Number,Google Rating,URL,Opening Time,Closing Time,Morning,Afternoon,Evening,Child Friendly,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
1,2-Hour Private Boat Rental,Champagne and Ice,Dolphin Water Sport,4500 Collins Ave,Miami Beach,FL,33140,280,280,305-209-6767,4.8,https://dolphinwatersport.com/,10:00am,6:00pm,TRUE,TRUE,FALSE,TRUE,Outdoors,Party,Nature,,Alcohol
2,2-Hour Scooter or Segway Rental,Helmet Rental,Scooters South Beach,1520 Collins Ave #1,Miami Beach,FL,33139,65,,305-672-4346,4.4,https://scooterssouthbeach.com/,10:00am,6:30pm,TRUE,TRUE,FALSE,FALSE,Outdoors,Adventurous,Urban,,
3,2-Hour Electric Bike Rental,Helmet Rental,Fly E-Bike Miami,1513 Washington Ave,Miami Beach,FL,33139,50,,786-553-5083,5,https://www.flyebike.com/miamibeach,10:00am,7:00pm,TRUE,TRUE,FALSE,FALSE,Outdoors,Adventurous,Urban,,
4,9 Holes of Golf,Golf Clubs and Shoe Rental,Miami Beach Golf Club,2301 Alton Road,Miami Beach,FL,33140,330,,305-532-3350,4.6,https://www.miamibeachgolfclub.com/,6:30am,7:30pm,TRUE,TRUE,FALSE,FALSE,Outdoors,Golf,,Dressy,Alcohol
5,Art Museum,Museum Admission,The Wolfsonian,1001 Washington Ave,Miami Beach,FL,33139,0,,305.531.1001,4.6,https://wolfsonian.org/,10:00am,6:00pm,TRUE,TRUE,FALSE,TRUE,Indoors,Cultural,Urban,,
6,Art Deco District Audio Tour,Audio Guide for Smart Phone,Art Deco Welcome Center,1001 Ocean Dr,Miami Beach,FL,33139,25,,305-763-8026,3.8,https://mdpl.org/tours/art-deco-architectural-audio-tour-self-guided/,N/A,N/A,TRUE,TRUE,TRUE,TRUE,Outdoors,Cultural,,,
7,Movie Theatre in Historic City Hall,Ticket to One Movie,O Cinema South Beach,1130 Washington Ave,Miami Beach,FL,33139,11,,786-471-3269,4.6,https://www.o-cinema.org/venue/o-cinema-south-beach/,1:00pm,12:00am,FALSE,TRUE,TRUE,FALSE,Indoors,Cultural,,,
8,Lincoln Road Shopping District,Great People Watching,"Lincoln Road Business Improvement District, Inc.",Lincoln Ave,Miami Beach,FL,33139,0,,305-600-0219,4.6,https://lincolnrd.com/,,,TRUE,TRUE,TRUE,TRUE,Outdoors,Shopping,Urban,,
9,Miami Beach Boardwalk,Great People Watching,City Hall of Miami Beach,101 27th St,Miami Beach,FL,33140,0,,305-673-7420,5,https://www.miamibeachboardwalk.com/,7:00am,10:00pm,TRUE,TRUE,TRUE,TRUE,Outdoors,,Nature,,
10,Surfing Lessons,All Surf Equipment,SoBe Surf,1 Washington Ave,Miami Beach,FL,33139,120,,305-773-1142,4.6,http://www.sobesurf.com/miami/,9:00am,5:00pm,TRUE,TRUE,FALSE,TRUE,Outdoors,Adventurous,Nature,,
11,Colorful Local Speakeasy,One Cocktail + Tip,Swizzle Rum Bar & Drinkery,1120 Collins Ave,Miami Beach,FL,33139,20,,347-977-6428,4.9,https://www.swizzlerumbardrinkery.com/,7:00pm,3:00am,FALSE,FALSE,TRUE,FALSE,Indoors,,,Dressy,Alcohol
12,South Beach,"Sun, Sand, and Swimming",City Hall of Miami Beach,1130 Ocean Dr,Miami Beach,FL,33139,0,,305-673-7420,,https://www.miamibeachfl.gov/city-hall/parks-and-recreation/parks-facilities-directory/lummus-park/,,,TRUE,TRUE,TRUE,TRUE,Outdoors,,Nature,,
13,Yoga on the Beach,Guided Yoga,3rd Street Beach Yoga,3rd St and Ocean Dr,Miami Beach,FL,33139,0,,(786) 529-6423,4.9,https://www.3rdstreetbeachyoga.com/,7:00AM,6:00PM,TRUE,FALSE,TRUE,TRUE,Outdoors,,Nature,,
14,Walk Down Ocean Drive,People and Architecture,City of Miami Beach,Ocean Dr,Miami Beach,FL,33139,0,,,4.7,https://www.miamibeachfl.gov/,,,TRUE,TRUE,TRUE,TRUE,Outdoors,,Urban,,
15,Miami Beach Botanical Garden,Admission,Miami Beach Botanical Garden,2000 Convention Center Dr,Miami Beach,FL,33139,5,,(305) 673-7256,4.6,https://www.mbgarden.org/,9:00AM,5:00PM,TRUE,TRUE,FALSE,TRUE,Outdoors,,Nature,,
