Restaurant ID,Name,Address,Phone Number,Price,Tag,Tag,Tag
1,Habitat,2341 Collins Ave,1 305 604-6700,$$$$,Mexican,Vegetarian,Vegan
2,Ceviches,2895A Collins Ave,1 305 763-8032,$$,Peruvian,,
3,Yard Bird,1600 Lenox Ave,1 305 538-5220,$$$,Southern,Bourbon Bar,
4,Ola,2360 Collins Ave,1 305 695-9125,$$$$,Fine Dining,Latin,Cocktails
5,Byblos Miami,1545 Collins Ave,1 786 864-2990,$$$,Mediterranean,,
6,Barton G,1427 West Ave,1 305 672-8881,$$$$,New American,Fine Dining,
7,La Ventana,710 Washington Ave,1 305 673-0912,$$,Colombian,Cafe,
8,Santorini,101 Ocean Dr,1 305 672-6624,$$,Greek,Poolside,
9,La Cerveceria de Barrio Miami,836 Lincoln Rd,1 305 535-7400,$$,Mexican,Craft Beer,
10,The Bazaar,1701 Collins Ave,1 305 455-2999,$$$,Spanish,Asian,Island
